Profiling Single Operation VOLE...
Average time for Single Operation VOLE: 0.050755 seconds
         916421 function calls in 0.510 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       71    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    41864    0.005    0.000    0.005    0.000 {built-in method builtins.pow}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     1317    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       25    0.000    0.000    0.000    0.000 {built-in method math.log}
      122    0.000    0.000    0.000    0.000 {built-in method sys.audit}
      349    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       71    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
    19701    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
       61    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      183    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      305    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      122    0.000    0.000    0.000    0.000 {method 'from_address' of '_ctypes.PyCArrayType' objects}
    32218    0.003    0.000    0.003    0.000 {method 'getrandbits' of '_random.Random' objects}
      610    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      122    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}


